Timestamp,Steps,HeadingDeg,X,Y,StepLen,Source
1768292014317,1,-180,4.94848625463123E-8,-0.5660408253341264,0.57,SCS
1768292059948,2,-65,-0.5292927378298891,-0.32203755467415407,0.58,SCS
1768292060311,3,-63,-1.1942069163754772,0.009397419382652983,0.74,SCS
1768292060608,4,-52,-1.8320039875316119,0.4999291163646184,0.80,SCS
1768292060952,5,-37,-2.3032040223823897,1.1223957767517294,0.78,SCS
1768292061425,6,-35,-2.7131047908323827,1.6966680057645251,0.71,SCS
1768292062626,7,0,-2.7131047908323827,2.3166464419476944,0.62,SCS
1768292063294,8,0,-2.7131047908323827,2.9378171493033407,0.62,SCS
1768292063916,9,18,-2.5047773807444047,3.571036255938851,0.67,SCS
1768292064387,10,0,-2.5047773807444047,4.208446215723163,0.64,SCS
1768292068292,11,-28,-2.8516278373558768,4.841779862060429,0.72,SCS
1768292068637,12,-44,-3.3456270553061556,5.338784765576499,0.70,SCS
1768292069132,13,-55,-3.84609052332417,5.67987398651289,0.61,SCS
1768292069689,14,-41,-4.253191380433285,6.146728236075979,0.62,SCS
1768292070226,15,-67,-4.817241756920982,6.379812887032377,0.61,SCS
1768292070718,16,-46,-5.242508282564682,6.788604993003741,0.59,SCS
1768292071900,17,-20,-5.4734420991041155,7.40511513829181,0.66,SCS
1768292072457,18,-59,-5.9999364234665675,7.720424955928334,0.61,SCS
1768292073014,19,-61,-6.527673281310801,8.004213074187044,0.60,SCS
1768292074217,20,-54,-7.026498394701527,8.361194671054658,0.61,SCS
1768292074795,21,-35,-7.371061398181101,8.850361032567614,0.60,SCS
1768292075160,22,-50,-7.8489085621377574,9.23926652149197,0.62,SCS
1768292075955,23,-90,-8.51094994485967,9.239266492553222,0.66,SCS
1768292076427,24,-39,-8.933972393643002,9.75633946487238,0.67,SCS
1768292076985,25,-64,-9.566877384681916,10.055495968813547,0.70,SCS
1768292077584,26,-48,-10.053453300309348,10.48689028312806,0.65,SCS
1768292078187,27,22,-9.773023294289242,11.154415965414655,0.72,SCS
1768292078722,28,38,-9.392318022491793,11.63097594546,0.61,SCS
1768292079366,29,0,-9.392318022491793,12.319913586922402,0.69,SCS
1768292079925,30,59,-8.816644407858732,12.658575503771178,0.67,SCS
1768292081041,31,50,-8.313031533467056,13.071332336089485,0.65,SCS
1768292081704,32,25,-8.012437268125922,13.699528271958128,0.70,SCS
1768292082113,33,52,-7.518710187838597,14.084978399954817,0.63,SCS
1768292082628,34,41,-7.049331265547419,14.614940918985068,0.71,SCS
1768292083230,35,48,-6.567125741448033,15.044049294707323,0.65,SCS
1768292083701,36,19,-6.3239124769775765,15.73202073187301,0.73,SCS
1768292084323,37,90,-5.61735753529193,15.732020700988512,0.71,SCS
1768292084989,38,90,-4.923716295536272,15.73202067066849,0.69,SCS
1768292085524,39,131,-4.378575402003118,15.246226778701654,0.73,SCS
1768292086060,40,126,-3.8315575602856637,14.837077105827618,0.68,SCS
1768292086576,41,135,-3.3345800925850635,14.323173405042802,0.71,SCS
1768292087113,42,128,-2.763634921486621,13.866974653065997,0.73,SCS
1768292087712,43,140,-2.3291302219454844,13.341020128618611,0.68,SCS
1768292088252,44,90,-1.5655410547727282,13.341020095241067,0.76,SCS
1768292088829,45,137,-1.0359166497696437,12.767517914364992,0.78,SCS
1768292089322,46,119,-0.37044798763211684,12.397896897176338,0.76,SCS
1768292089814,47,162,-0.1424230431709062,11.661889000369008,0.77,SCS
1768292090460,48,132,0.41846046543853405,11.146604169426297,0.76,SCS
1768292091104,49,131,0.9973728884074973,10.630765567214663,0.78,SCS
1768292091618,50,118,1.5688489373924506,10.321718147557128,0.65,SCS
1768292092005,51,134,1.9272760982211654,9.967481070419778,0.50,SCS
1768292092476,52,144,2.2796923274915866,9.477590360885404,0.60,SCS
1768292092885,53,138,2.6967096381835565,8.999027517783851,0.63,SCS
1768292093207,54,-180,2.6967096920887363,8.382424160381152,0.62,SCS
1768292093979,55,90,3.4335218435193138,8.382424128174069,0.74,SCS
1768292094515,56,114,3.9978879736482056,8.12392806921582,0.62,SCS
1768292095007,57,90,4.653421138972316,8.123928040561553,0.66,SCS
1768292095653,58,141,5.102405514454123,7.565907520430179,0.72,SCS
1768292096319,59,123,5.619108062156015,7.228622996455786,0.62,SCS
1768292096896,60,180,5.619108004054248,6.5640162766127474,0.66,SCS
1768292097391,61,180,5.61910795149367,5.9627933703545635,0.60,SCS
1768292098014,62,-137,5.1898199588851925,5.501884313096641,0.63,SCS
1768292098574,63,-136,4.7540213072242805,5.039656688673059,0.64,SCS
1768292099128,64,-109,4.123526033254625,4.819059837852107,0.67,SCS
1768292099688,65,-114,3.5275751267952487,4.546475626599119,0.66,SCS
1768292100652,66,-120,2.9405746418066894,4.197165753767804,0.68,SCS
1768292101189,67,180,2.9405745911525623,3.6177500997814653,0.58,SCS
1768292101788,68,-90,2.3221059453604096,3.617750072747341,0.62,SCS
1768292102370,69,-37,1.9516913887671838,4.107251688865464,0.61,SCS
1768292102970,70,-145,1.6035770463836245,3.5946639252206807,0.62,SCS
1768292103571,71,-162,1.4192541831341803,3.002908742378372,0.62,SCS
1768292104086,72,-150,1.1073926868917152,2.4549797577104266,0.63,SCS
1768292104729,73,-161,0.9079474453764218,1.852840624374563,0.63,SCS
1768292105373,74,-131,0.4198778321740962,1.4271670264340481,0.65,SCS
1768292107282,75,-90,-0.18098772987749573,1.4271670001693793,0.60,SCS
1768292107667,76,-59,-0.6812810645684906,1.726508450345463,0.58,SCS
1768292108078,77,-43,-1.0986014049734683,2.173275193305424,0.61,SCS
1768292108742,78,0,-1.0986014049734683,2.7544492119197135,0.58,SCS
1768292109321,79,0,-1.0986014049734683,3.4096990164169845,0.66,SCS
1768292109985,80,-58,-1.6513524260585302,3.74720364550858,0.65,SCS
1768292110501,81,-20,-1.876386374663512,4.345599118566685,0.64,SCS
1768292111123,82,-67,-2.461325482624831,4.588879798242531,0.63,SCS
1768292111704,83,-17,-2.658928500987005,5.222951556963203,0.66,SCS
1768292112260,84,-90,-3.3080139410347185,5.222951528590776,0.65,SCS
1768292112754,85,-21,-3.5249740183207465,5.7669165137288445,0.59,SCS
1768292113376,86,-90,-4.157584685414159,5.7669164860765525,0.63,SCS
1768292113977,87,-90,-4.784442145468158,5.766916458675742,0.63,SCS
1768292114513,88,-153,-5.0533615389412185,5.2169560045183,0.61,SCS
1768292114986,89,-123,-5.5992864581952535,4.849447479613037,0.66,SCS
1768292115651,90,-156,-5.850163616041733,4.260408408902463,0.64,SCS
1768292117775,91,-110,-6.535717577136198,4.00735588816,0.73,SCS
1768292118138,92,-90,-7.121449347129172,4.00735586255685,0.59,SCS
1768292118761,93,-112,-7.781969083429222,3.7289915224357286,0.72,SCS
1768292119940,94,-109,-8.400417526209377,3.5131063066076065,0.66,SCS
1768292120241,95,-90,-8.964785702990147,3.5131062819382888,0.56,SCS
1768292120563,96,-90,-9.69983849397711,3.5131062498081094,0.74,SCS
1768292124555,97,-58,-10.432618460590287,3.97013340595916,0.86,SCS
1768292142560,98,0,-10.432618460590287,4.694754771287039,0.72,SCS
1768292142987,99,-64,-11.055687340515117,4.987176881613155,0.69,SCS
1768292143545,100,-32,-11.450007709277001,5.601895762216847,0.73,SCS
1768292146033,101,21,-11.180095761180429,6.275471005934143,0.73,SCS
1768292146698,102,66,-10.581650248404292,6.53172189612336,0.65,SCS
1768292147579,103,-45,-11.093906876070635,7.032842463755407,0.72,SCS
1768292147965,104,-69,-11.763999986364064,7.289526436645393,0.72,SCS
