Timestamp,Type,Val1,Val2,Val3,Val4,Val5,Val6
1768360472551,RAW,3.1235352,10.001465,-2.4926758,,,
1768360472609,RAW,-8.251465,-8.757324,-13.37207,,,
1768360472667,RAW,13.498047,-0.38232422,5.6279297,,,
1768360472725,RAW,-1.2514648,0.3671875,4.128418,,,
1768360472787,RAW,-10.501953,-1.5078125,15.62793,,,
1768360472848,RAW,-4.626953,-5.0078125,-5.3720703,,,
1768360472909,RAW,-3.5019531,-10.7578125,6.8779297,,,
1768360472967,RAW,5.373047,-10.632324,15.50293,,,
1768360473026,RAW,-0.37695312,-12.7578125,-8.49707,,,
1768360473085,RAW,-5.126953,-14.6328125,-0.24707031,,,
1768360473146,RAW,-2.1269531,14.8671875,11.87793,,,
1768360473207,RAW,-0.37695312,10.3671875,-13.24707,,,
1768360473265,RAW,-0.7519531,6.4921875,-11.24707,,,
1768360473357,RAW,2.2485352,3.3676758,-13.49707,,,
1768360473420,RAW,-2.8769531,2.4921875,14.62793,,,
1768360473477,RAW,7.623535,0.9926758,7.2529297,,,
1768360473540,RAW,11.373535,2.9926758,-1.6220703,,,
1768360473598,RAW,4.998047,7.742676,-8.99707,,,
1768360473658,RAW,3.7480469,11.117676,-13.49707,,,
1768360473719,RAW,-0.12695312,-13.2578125,-12.12207,,,
1768360473778,RAW,2.4980469,-11.632324,-4.1220703,,,
1768360473837,RAW,3.8730469,-11.632324,-0.4970703,,,
1768360473896,RAW,4.873047,11.867676,0.5029297,,,
1768360473957,RAW,0.9980469,8.742676,1.5029297,,,
1768360474045,RAW,4.123047,7.117676,1.5029297,,,
1768360474076,RAW,6.123047,5.742676,-1.8720703,,,
1768360474137,RAW,2.7480469,7.492676,-2.7470703,,,
1768360474198,RAW,-2.0019531,7.7421875,-1.2470703,,,
1768360474257,RAW,1.8730469,9.242676,-0.7470703,,,
1768360474317,RAW,3.6230469,11.867676,1.2529297,,,
1768360474378,RAW,1.7480469,10.867676,0.6279297,,,
1768360474466,RAW,-1.8769531,13.7421875,-0.8720703,,,
1768360474529,RAW,6.373047,-13.632324,3.0029297,,,
1768360474589,RAW,10.373047,-13.757324,3.6279297,,,
1768360474650,RAW,5.123047,14.867676,-2.3720703,,,
1768360474712,RAW,-0.8769531,12.3671875,-0.8720703,,,
1768360474767,RAW,1.4980469,7.617676,4.2529297,,,
1768360474827,RAW,5.248047,-0.6323242,1.6274414,,,
1768360474887,RAW,2.8730469,-1.8823242,-1.3725586,,,
1768360474949,RAW,2.1230469,-0.6323242,-3.2475586,,,
1768360475014,RAW,-1.6264648,4.3671875,-5.2470703,,,
1768360475070,RAW,-1.1269531,13.1171875,-4.7470703,,,
1768360475126,RAW,5.123047,14.367676,-0.6220703,,,
1768360475185,RAW,2.9980469,10.242676,-0.9970703,,,
1768360475247,RAW,0.9980469,9.117676,-0.12207031,,,
1768360475311,RAW,6.748047,11.367676,2.1279297,,,
1768360475366,RAW,2.2480469,9.617676,1.5029297,,,
1768360475427,RAW,1.4980469,7.492676,1.2529297,,,
1768360475486,RAW,0.49804688,7.242676,0.5029297,,,
1768360475548,RAW,2.3730469,8.492676,1.2529297,,,
1768360475608,RAW,4.123047,10.992676,0.5029297,,,
1768360475701,RAW,4.123047,11.617676,0.2529297,,,
1768360475759,RAW,1.4980469,10.242676,0.12792969,,,
1768360475819,RAW,3.2480469,8.492676,0.0029296875,,,
1768360475877,RAW,-1.7519531,8.6171875,0.3779297,,,
1768360475936,RAW,4.123047,9.992676,-0.9970703,,,
1768360475999,RAW,4.873047,7.867676,-0.6220703,,,
1768360476056,RAW,0.9980469,7.117676,-0.8720703,,,
1768360476116,RAW,4.998047,6.992676,-0.6220703,,,
1768360476177,RAW,3.9980469,9.367676,-2.1220703,,,
1768360476239,RAW,3.2480469,7.492676,-1.4970703,,,
1768360476298,RAW,0.24804688,7.242676,-2.6220703,,,
1768360476357,RAW,-0.37695312,7.1171875,-1.9970703,,,
1768360476417,RAW,1.7480469,6.492676,-2.1220703,,,
1768360476476,RAW,-0.5019531,6.8671875,-2.1220703,,,
