Timestamp,Steps,HeadingDeg,X,Y
1768284970322,1,180,-6.11959436014331E-8,-0.7
1768284971473,2,180,-1.223918872028662E-7,-1.4
1768284972029,3,180,-1.8358783080429932E-7,-2.0999999999999996
1768284972608,4,180,-2.447837744057324E-7,-2.8
1768284973232,5,180,-3.059797180071655E-7,-3.5
1768284973703,6,180,-3.671756616085986E-7,-4.2
1768284974198,7,-180,-3.059797180071655E-7,-4.9
1768284974755,8,180,-3.671756616085986E-7,-5.6000000000000005
1768284975250,9,180,-4.283716052100317E-7,-6.300000000000001
1768284975828,10,180,-4.895675488114648E-7,-7.000000000000001
1768284976343,11,180,-5.50763492412898E-7,-7.700000000000001
1768284976858,12,180,-6.119594360143311E-7,-8.4
1768284977394,13,-180,-5.50763492412898E-7,-9.1
1768284978081,14,-180,-4.895675488114648E-7,-9.799999999999999
1768284978511,15,-180,-4.2837160521003173E-7,-10.499999999999998
1768284979068,16,180,-4.895675488114648E-7,-11.199999999999998
1768284979583,17,-180,-4.2837160521003173E-7,-11.899999999999997
1768284980142,18,180,-4.895675488114648E-7,-12.599999999999996
1768284980655,19,-180,-4.2837160521003173E-7,-13.299999999999995
1768284981215,20,180,-4.895675488114648E-7,-13.999999999999995
1768284981793,21,131,0.5242020956527881,-14.463909065723414
1768284982437,22,90,1.224202095652788,-14.463909096321386
1768284983121,23,90,1.9242020956527879,-14.463909126919358
1768284983553,24,90,2.624202095652788,-14.46390915751733
1768284984047,25,90,3.3242020956527876,-14.463909188115302
1768284984562,26,90,4.024202095652788,-14.463909218713274
1768284985075,27,90,4.724202095652788,-14.463909249311246
1768284985654,28,90,5.424202095652788,-14.463909279909219
1768284986128,29,90,6.124202095652788,-14.46390931050719
1768284986685,30,90,6.8242020956527885,-14.463909341105163
1768284987179,31,90,7.524202095652789,-14.463909371703135
1768284987801,32,35,7.934078883315295,-13.89645804962443
1768284988295,33,24,8.224713956500262,-13.259644701092707
1768284988917,34,0,8.224713956500262,-12.559644701092708
1768284989432,35,0,8.224713956500262,-11.859644701092709
1768284989904,36,0,8.224713956500262,-11.15964470109271
