Timestamp,Steps,HeadingDeg,X,Y
1768284990656,37,0,8.224713956500262,-10.45964470109271
1768284991127,38,0,8.224713956500262,-9.75964470109271
1768284991642,39,0,8.224713956500262,-9.059644701092711
1768284992200,40,0,8.224713956500262,-8.359644701092712
1768284992736,41,0,8.224713956500262,-7.659644701092712
1768284993315,42,0,8.224713956500262,-6.959644701092712
1768284993788,43,0,8.224713956500262,-6.259644701092712
1768284994346,44,0,8.224713956500262,-5.5596447010927115
1768284994839,45,0,8.224713956500262,-4.859644701092711
1768284995418,46,0,8.224713956500262,-4.159644701092711
1768284995910,47,0,8.224713956500262,-3.459644701092711
1768284996448,48,0,8.224713956500262,-2.7596447010927108
1768284996943,49,23,8.500093694711893,-2.1160874148301985
1768284997542,50,0,8.500093694711893,-1.4160874148301985
1768284998102,51,0,8.500093694711893,-0.7160874148301986
1768284998594,52,-23,8.218798725987643,-0.07509352168368366
1768284999111,53,-44,7.725656806613177,0.42170731821728674
1768284999689,54,-68,7.072493826533526,0.6734574476785752
1768285000355,55,-90,6.372493826533526,0.6734574170806034
1768285000847,56,-90,5.672493826533525,0.6734573864826315
1768285001512,57,-90,4.972493826533525,0.6734573558846597
1768285001985,58,-90,4.272493826533525,0.6734573252866879
1768285002543,59,-90,3.572493826533525,0.6734572946887161
1768285003120,60,-90,2.8724938265335247,0.6734572640907442
1768285003852,61,-90,2.1724938265335245,0.6734572334927724
1768285004301,62,-90,1.4724938265335246,0.6734572028948006
1768285004838,63,-90,0.7724938265335246,0.6734571722968288
1768285005482,64,-90,0.07249382653352465,0.673457141698857
1768285007306,65,-90,-0.6275061734664753,0.6734571111008851
1768285011488,66,-90,-1.3275061734664753,0.6734570805029133
1768285011915,67,-90,-2.027506173466475,0.6734570499049415
1768285012517,68,-114,-2.6658468433368516,0.38619198459255594
1768285018940,69,-128,-3.2154779978740526,-0.0472888146055947
1768285019254,70,90,-2.5154779978740525,-0.0472888452035665
1768285019554,71,90,-1.8154779978740525,-0.0472888758015383
1768285020629,72,150,-1.4745174863088442,-0.6586365213227022
1768285021294,73,180,-1.4745175475047878,-1.358636521322702
1768285021832,74,180,-1.4745176087007315,-2.0586365213227023
1768285022344,75,-180,-1.4745175475047878,-2.7586365213227024
1768285022926,76,-180,-1.4745174863088442,-3.4586365213227026
1768285023396,77,-180,-1.4745174251129005,-4.158636521322703
1768285023958,78,-180,-1.4745173639169569,-4.858636521322703
1768285024452,79,-180,-1.4745173027210132,-5.558636521322703
1768285024983,80,-180,-1.4745172415250696,-6.258636521322703
1768285025523,81,-154,-1.775925174760238,-6.890422301514125
1768285026060,82,-180,-1.7759251135642944,-7.590422301514125
1768285026552,83,-180,-1.7759250523683507,-8.290422301514125
1768285027112,84,-180,-1.775924991172407,-8.990422301514124
1768285027647,85,-180,-1.7759249299764635,-9.690422301514124
1768285028227,86,180,-1.775924991172407,-10.390422301514123
1768285028697,87,144,-1.3655202792106609,-10.957491939289545
1768285029278,88,121,-0.7674510167060833,-11.321240668518518
1768285029769,89,118,-0.15050077299461173,-11.651955639345621
1768285030333,90,90,0.5494992270053882,-11.651955669943593
1768285030844,91,90,1.2494992270053882,-11.651955700541565
1768285031467,92,90,1.9494992270053881,-11.651955731139537
1768285031896,93,90,2.6494992270053883,-11.65195576173751
1768285032432,94,90,3.3494992270053885,-11.651955792335482
1768285032947,95,90,4.049499227005389,-11.651955822933454
1768285033484,96,131,4.571635092693713,-12.118189833391446
1768285034018,97,148,4.939078207212832,-12.713996485698956
1768285034536,98,-180,4.9390782684087755,-13.413996485698956
1768285035073,99,180,4.939078207212832,-14.113996485698955
1768285035544,100,-180,4.9390782684087755,-14.813996485698954
1768285036209,101,-145,4.540383353829384,-15.389359287250773
1768285036681,102,-130,4.008567234873771,-15.844520405758159
1768285037196,103,-90,3.308567234873771,-15.844520436356131
1768285037776,104,-90,2.608567234873771,-15.844520466954103
1768285038268,105,-90,1.908567234873771,-15.844520497552075
1768285038867,106,-90,1.208567234873771,-15.844520528150047
1768285039342,107,-90,0.5085672348737711,-15.84452055874802
1768285039900,108,-90,-0.19143276512622887,-15.844520589345992
1768285040437,109,-90,-0.8914327651262288,-15.844520619943964
1768285040973,110,-90,-1.5914327651262288,-15.844520650541936
1768285041487,111,-90,-2.2914327651262285,-15.844520681139908
1768285042088,112,-44,-2.7795660585165027,-15.342797791001281
1768285042582,113,0,-2.7795660585165027,-14.642797791001282
1768285043160,114,0,-2.7795660585165027,-13.942797791001283
1768285043677,115,0,-2.7795660585165027,-13.242797791001284
1768285044254,116,0,-2.7795660585165027,-12.542797791001284
1768285044748,117,0,-2.7795660585165027,-11.842797791001285
1768285045328,118,0,-2.7795660585165027,-11.142797791001286
1768285045822,119,0,-2.7795660585165027,-10.442797791001286
1768285046359,120,0,-2.7795660585165027,-9.742797791001287
1768285046894,121,0,-2.7795660585165027,-9.042797791001288
1768285047453,122,0,-2.7795660585165027,-8.342797791001288
1768285047968,123,0,-2.7795660585165027,-7.642797791001288
1768285048482,124,0,-2.7795660585165027,-6.942797791001288
1768285048957,125,0,-2.7795660585165027,-6.242797791001288
1768285049534,126,0,-2.7795660585165027,-5.542797791001288
1768285050027,127,0,-2.7795660585165027,-4.842797791001288
1768285050564,128,0,-2.7795660585165027,-4.142797791001287
1768285051101,129,0,-2.7795660585165027,-3.4427977910012872
1768285051658,130,0,-2.7795660585165027,-2.742797791001287
1768285052237,131,0,-2.7795660585165027,-2.042797791001287
1768285052750,132,0,-2.7795660585165027,-1.342797791001287
1768285053374,133,0,-2.7795660585165027,-0.642797791001287
1768285054037,134,0,-2.7795660585165027,0.05720220899871298
1768285057881,135,-54,-3.3464670091867452,0.4678398618727059
1768285058567,136,-90,-4.046467009186745,0.46783983127473405
1768285058889,137,-90,-4.746467009186746,0.46783980067676223
1768285059208,138,-117,-5.365079340338708,0.14024431045955338
1768285059636,139,-140,-5.8102296739816675,-0.39997896019512497
1768285060110,140,-137,-6.279363450407983,-0.9195109612136492
1768285060882,141,180,-6.279363511603926,-1.6195109612136491
1768285061185,142,155,-5.994473813575362,-2.258915240207256
1768285094322,143,153,-5.684463943642234,-2.8865248984485277
