Timestamp,Type,Val1,Val2,Val3,Val4,Val5,Val6,Val7
1768361211117,RAW,10.49707,8.001953,0.50683594,,,,
1768361211178,RAW,11.49707,6.751953,1.2568359,,,,
1768361211187,SWING,19.451975,22.978882,-0.9122815,0.332795,-0.0013172502,-0.9429983,SWINGING
1768361211236,RAW,10.99707,8.126953,0.38183594,,,,
1768361211327,RAW,11.49707,4.251953,0.0068359375,,,,
1768361211386,RAW,9.37207,9.126953,-0.11816406,,,,
1768361211392,SWING,19.964481,21.92981,-0.9141291,0.3177965,0.0039770966,-0.9481506,SWINGING
1768361211449,RAW,10.99707,8.251953,-1.3681641,,,,
1768361211507,RAW,10.62207,9.251953,-0.49316406,,,,
1768361211567,RAW,11.49707,8.251953,-0.24316406,,,,
1768361211627,RAW,10.99707,7.751953,-0.36816406,,,,
1768361211632,SWING,19.947237,20.820782,-0.9114764,0.3550885,0.0023235562,-0.9348298,SWINGING
1768361211685,RAW,10.49707,8.626953,-0.99316406,,,,
1768361211749,RAW,11.12207,9.376953,-0.24316406,,,,
1768361211806,RAW,10.62207,8.251953,-0.74316406,,,,
1768361211865,RAW,10.24707,9.501953,-0.61816406,,,,
1768361211874,SWING,19.466131,19.94389,-0.9046612,0.3490524,0.0023840652,-0.93710023,SWINGING
1768361211927,RAW,10.99707,8.626953,-0.61816406,,,,
1768361211989,RAW,10.24707,8.751953,-0.24316406,,,,
1768361212047,RAW,9.99707,8.876953,-0.49316406,,,,
1768361212107,RAW,10.74707,8.876953,-0.36816406,,,,
1768361212116,SWING,19.42395,19.650753,-0.8970557,0.36144367,2.8960058E-5,-0.93239397,SWINGING
1768361212166,RAW,9.37207,9.001953,-0.11816406,,,,
1768361212226,RAW,10.24707,9.001953,0.0068359375,,,,
1768361212288,RAW,9.49707,9.251953,-0.24316406,,,,
1768361212353,RAW,10.62207,9.626953,0.13183594,,,,
1768361212359,SWING,21.376081,20.035578,-0.8903282,0.40591106,0.00332417,-0.9139066,SWINGING
1768361212407,RAW,9.87207,7.876953,-0.11816406,,,,
1768361212500,RAW,11.62207,11.001953,-0.24316406,,,,
1768361212559,RAW,9.74707,5.876953,0.38183594,,,,
1768361212566,SWING,21.504112,20.343502,-0.8923429,0.383799,-0.0018402709,-0.9234148,SWINGING
1768361212616,RAW,9.87207,10.626953,-0.36816406,,,,
1768361212677,RAW,9.99707,9.626953,0.0068359375,,,,
1768361212737,RAW,10.12207,8.376953,0.0068359375,,,,
1768361212800,RAW,10.74707,10.501953,-0.24316406,,,,
